Unnamed: 0,team,task,task_type,score,incorrect,correct,time_till_correct,novice,year,precision
100,LifeSeeker,LSC22-KIS05,KIS,50.07816666666667,3,1,295.931,False,2022,0.25
101,MEMENTO,LSC22-KIS05,KIS,85.52666666666667,0,1,86.84,False,2022,1.0
102,FIRST,LSC22-KIS05,KIS,73.61516666666667,0,1,158.309,False,2022,1.0
103,Voxento,LSC22-KIS05,KIS,64.8505,2,1,208.497,False,2022,0.3333333333333333
104,vitrivr,LSC22-KIS05,KIS,76.24683333333333,0,1,142.519,False,2022,1.0
105,lifeXplore,LSC22-KIS05,KIS,70.57283333333334,0,1,176.563,False,2022,1.0
106,vitrivr-VR,LSC22-KIS05,KIS,83.22333333333333,0,1,100.66,False,2022,1.0
107,MEMORIA,LSC22-KIS05,KIS,84.37683333333334,0,1,93.739,False,2022,1.0
108,MyScéal,LSC22-QA05,QA,82.29472222222222,0,1,63.739,False,2022,1.0
109,LifeSeeker,LSC22-QA05,QA,81.67611111111111,0,1,65.966,False,2022,1.0
110,MEMENTO,LSC22-QA05,QA,0.0,1,0,,False,2022,0.0
111,FIRST,LSC22-QA05,QA,0.0,1,0,,False,2022,0.0
112,Voxento,LSC22-QA05,QA,0.0,1,0,,False,2022,0.0
113,vitrivr,LSC22-QA05,QA,83.26638888888888,0,1,60.241,False,2022,1.0
114,lifeXplore,LSC22-QA05,QA,83.78777777777778,0,1,58.364,False,2022,1.0
115,vitrivr-VR,LSC22-QA05,QA,56.55777777777778,0,1,156.392,False,2022,1.0
116,MEMORIA,LSC22-QA05,QA,0.0,1,0,,False,2022,0.0
117,MyScéal,LSC22-QA06,QA,75.82055555555556,0,1,87.046,False,2022,1.0
118,LifeSeeker,LSC22-QA06,QA,66.76555555555555,0,1,119.644,False,2022,1.0
119,MEMENTO,LSC22-QA06,QA,74.79555555555555,0,1,90.736,False,2022,1.0
120,FIRST,LSC22-QA06,QA,65.07972222222223,0,1,125.713,False,2022,1.0
121,Voxento,LSC22-QA06,QA,0.0,1,0,,False,2022,0.0
122,vitrivr,LSC22-QA06,QA,86.90722222222223,0,1,47.134,False,2022,1.0
123,lifeXplore,LSC22-QA06,QA,0.0,1,0,,False,2022,0.0
124,vitrivr-VR,LSC22-QA06,QA,80.51833333333335,0,1,70.134,False,2022,1.0
125,MEMORIA,LSC22-QA06,QA,60.55722222222222,0,1,141.994,False,2022,1.0
126,MyScéal,LSC22-KIS06,KIS,80.04216666666667,0,1,119.747,False,2022,1.0
127,LifeSeeker,LSC22-KIS06,KIS,79.67750000000001,0,1,121.935,False,2022,1.0
128,MEMENTO,LSC22-KIS06,KIS,89.58333333333333,1,1,61.3,False,2022,0.5
129,FIRST,LSC22-KIS06,KIS,82.50133333333333,1,1,103.792,False,2022,0.5
130,Voxento,LSC22-KIS06,KIS,84.32016666666665,1,1,92.879,False,2022,0.5
131,vitrivr,LSC22-KIS06,KIS,0.0,1,0,,False,2022,0.0
132,lifeXplore,LSC22-KIS06,KIS,77.11683333333333,2,1,134.899,False,2022,0.3333333333333333
133,vitrivr-VR,LSC22-KIS06,KIS,0.0,1,0,,False,2022,0.0
134,MEMORIA,LSC22-KIS06,KIS,0.0,0,0,,False,2022,0.0
135,MyScéal,LSC22-AD06,AD,24.615384615384617,2,4,58.796,False,2022,0.6666666666666666
136,LifeSeeker,LSC22-AD06,AD,8.144796380090499,56,6,48.529,False,2022,0.0967741935483871
137,MEMENTO,LSC22-AD06,AD,4.395604395604396,10,2,23.653,False,2022,0.16666666666666666
138,FIRST,LSC22-AD06,AD,23.07692307692308,0,3,28.501,False,2022,1.0
139,Voxento,LSC22-AD06,AD,7.6923076923076925,0,1,30.666,False,2022,1.0
140,vitrivr,LSC22-AD06,AD,34.96503496503496,1,5,45.163,False,2022,0.8333333333333334
141,lifeXplore,LSC22-AD06,AD,39.56043956043956,2,6,54.969,False,2022,0.75
142,vitrivr-VR,LSC22-AD06,AD,0.0,2,0,,False,2022,0.0
143,MEMORIA,LSC22-AD06,AD,15.384615384615383,0,2,156.215,False,2022,1.0
144,MyScéal,LSC22-KIS09,KIS,95.3345,0,1,27.993,False,2022,1.0
145,LifeSeeker,LSC22-KIS09,KIS,97.88,0,1,12.72,False,2022,1.0
146,MEMENTO,LSC22-KIS09,KIS,96.90916666666666,0,1,18.545,False,2022,1.0
147,FIRST,LSC22-KIS09,KIS,96.00083333333332,0,1,23.995,False,2022,1.0
148,Voxento,LSC22-KIS09,KIS,96.91866666666668,0,1,18.488,False,2022,1.0
149,vitrivr,LSC22-KIS09,KIS,87.70883333333333,0,1,73.747,False,2022,1.0
150,lifeXplore,LSC22-KIS09,KIS,97.7035,0,1,13.779,False,2022,1.0
151,vitrivr-VR,LSC22-KIS09,KIS,96.42033333333332,0,1,21.478,False,2022,1.0
152,MEMORIA,LSC22-KIS09,KIS,0.0,11,0,,False,2022,0.0
153,MyScéal,LSC22-AD09,AD,29.605263157894736,0,45,16.76,False,2022,1.0
154,LifeSeeker,LSC22-AD09,AD,34.312613430127044,6,55,31.923,False,2022,0.9016393442622951
155,MEMENTO,LSC22-AD09,AD,42.10526315789474,18,72,25.753,False,2022,0.8
156,FIRST,LSC22-AD09,AD,7.578947368421052,1,12,31.928,False,2022,0.9230769230769231
