team,task,correct,incorrect,norm_score,top_3,precision,recall,time_correct_LSC24-KISJ03,time_correct_LSC24-QA02,time_correct_LSC24-AD03,time_correct_LSC24-KISJ05,time_correct_LSC24-AD04,time_correct_LSC24-QA04,time_correct_LSC24-KISJ06,time_correct_LSC24-AD05,time_correct_LSC24-QA05,time_correct_LSC24-KISJ02,time_correct_LSC24-AD01,time_correct_LSC24-QA01,time_correct_LSC24-AD02,time_correct_LSC24-KIS04,time_correct_LSC24-KISJ04,time_correct_LSC24-QA03,time_correct_full_LSC24-KISJ02,time_correct_full_LSC24-AD01,time_correct_full_LSC24-QA01,time_correct_full_LSC24-KISJ03,time_correct_full_LSC24-AD02,time_correct_full_LSC24-QA02,time_correct_full_LSC24-KIS04,time_correct_full_LSC24-KISJ04,time_correct_full_LSC24-AD03,time_correct_full_LSC24-QA03,time_correct_full_LSC24-KISJ05,time_correct_full_LSC24-AD04,time_correct_full_LSC24-QA04,time_correct_full_LSC24-KISJ06,time_correct_full_LSC24-AD05,time_correct_full_LSC24-QA05
CollaXRSearch1,QA,5,3,86,0.0,0.625,1.0,202.831,97.907,64.62,inf,49.633,105.491,inf,37.546,78.46,232.317,91.557,209.63,97.813,inf,271.373,44.625,232.317,91.557,209.63,202.831,97.813,97.907,300,271.373,64.62,44.625,300.0,49.633,105.491,300.0,37.546,78.46
vitrivr-VR,QA,4,1,63,0.0,0.8,0.8,214.438,199.17,50.117,136.215,141.022,128.422,51.871,36.496,278.351,223.373,inf,inf,108.398,inf,69.968,74.655,223.373,180.0,300.0,214.438,108.398,199.17,300,69.968,50.117,74.655,136.215,141.022,128.422,51.871,36.496,278.351
MemoriEase,QA,4,4,55,1.0,0.5,0.8,235.136,53.57,30.263,98.085,inf,171.406,221.872,17.367,35.43,102.937,105.593,inf,52.746,inf,inf,inf,102.937,105.593,300.0,235.136,52.746,53.57,300,300.0,30.263,300.0,98.085,180.0,171.406,221.872,17.367,35.43
Libro3,QA,3,1,60,0.0,0.75,0.6,inf,83.444,42.523,99.692,38.217,inf,inf,48.907,70.058,139.957,79.063,inf,83.597,inf,inf,23.376,139.957,79.063,300.0,300.0,83.597,83.444,300,300.0,42.523,23.376,99.692,38.217,300.0,300.0,48.907,70.058
LifeSeeker1,QA,5,3,76,1.0,0.625,1.0,230.489,144.811,53.101,73.259,70.364,31.735,300.0,33.375,128.403,inf,inf,inf,inf,inf,33.525,44.83,300.0,180.0,300.0,230.489,180.0,144.811,300,33.525,53.101,44.83,73.259,70.364,31.735,300.0,33.375,128.403
SnapSeek3,QA,4,4,65,0.0,0.5,0.8,176.231,89.379,179.533,inf,97.6,inf,190.106,21.886,212.494,133.766,inf,135.962,139.336,inf,44.732,90.726,133.766,180.0,135.962,176.231,139.336,89.379,300,44.732,179.533,90.726,300.0,97.6,300.0,190.106,21.886,212.494
VISIONE2,QA,3,2,52,0.0,0.6,0.6,inf,inf,30.612,104.602,77.713,106.432,71.008,27.204,200.043,82.68,inf,inf,107.495,inf,223.478,32.236,82.68,180.0,300.0,300.0,107.495,300.0,300,223.478,30.612,32.236,104.602,77.713,106.432,71.008,27.204,200.043
Memento,QA,3,2,62,0.0,0.6,0.6,164.639,51.851,63.62,105.289,29.963,inf,inf,24.158,45.475,233.592,inf,inf,81.797,inf,17.417,32.24,233.592,180.0,300.0,164.639,81.797,51.851,300,17.417,63.62,32.24,105.289,29.963,300.0,300.0,24.158,45.475
EAGLE2,QA,5,3,81,0.0,0.625,1.0,inf,51.394,50.769,146.42,128.719,274.46,49.773,43.61,189.759,inf,inf,122.621,inf,inf,32.773,41.462,300.0,180.0,122.621,300.0,180.0,51.394,300,32.773,50.769,41.462,146.42,128.719,274.46,49.773,43.61,189.759
LifeLens1,QA,4,2,76,1.0,0.6666666666666666,0.8,inf,98.077,43.943,277.744,31.462,inf,inf,21.533,115.987,inf,inf,104.824,124.01,inf,16.017,31.694,300.0,180.0,104.824,300.0,124.01,98.077,300,16.017,43.943,31.694,277.744,31.462,300.0,300.0,21.533,115.987
Lifegraph,QA,3,4,57,0.0,0.42857142857142855,0.6,inf,69.217,62.566,154.304,inf,inf,284.895,85.598,114.189,211.116,64.634,inf,inf,inf,inf,75.434,211.116,64.634,300.0,300.0,180.0,69.217,300,300.0,62.566,75.434,154.304,180.0,300.0,284.895,85.598,114.189
vitrivr,QA,3,5,54,0.0,0.375,0.6,196.502,66.242,93.976,131.121,48.417,inf,inf,30.281,143.821,inf,88.519,inf,105.71,inf,66.413,63.97,300.0,88.519,300.0,196.502,105.71,66.242,300,66.413,93.976,63.97,131.121,48.417,300.0,300.0,30.281,143.821
Voxento,QA,3,2,58,0.0,0.6,0.6,inf,78.3,32.48,297.728,82.488,73.14,inf,22.237,76.59,118.012,inf,inf,124.239,inf,45.11,inf,118.012,180.0,300.0,300.0,124.239,78.3,300,45.11,32.48,300.0,297.728,82.488,73.14,300.0,22.237,76.59
MyEachtra,QA,3,1,59,1.0,0.75,0.6,190.313,58.117,175.523,125.141,168.235,70.408,143.937,23.312,68.627,inf,inf,inf,inf,inf,inf,inf,300.0,180.0,300.0,190.313,180.0,58.117,300,300.0,175.523,300.0,125.141,168.235,70.408,143.937,23.312,68.627
