team,task,correct,incorrect,norm_score,top_3,precision,recall,time_correct_LSC24-KISJ07,time_correct_LSC24-AD09,time_correct_LSC24-QA11,time_correct_LSC24-KISJ08,time_correct_LSC24-QA12,time_correct_LSC24-AD10,time_correct_LSC24-KISJ09,time_correct_LSC24-AD11,time_correct_full_LSC24-KISJ07,time_correct_full_LSC24-AD09,time_correct_full_LSC24-QA11,time_correct_full_LSC24-KISJ08,time_correct_full_LSC24-QA12,time_correct_full_LSC24-AD10,time_correct_full_LSC24-KISJ09,time_correct_full_LSC24-QA13,time_correct_full_LSC24-AD11,time_correct_full_LSC24-KISJ10,time_correct_full_LSC24-QA14,time_correct_full_LSC24-AD12
Libro1,AD,307,77,76,,0.7484890304317056,0.4997900010120433,inf,50.177,88.891,80.303,144.863,36.739,39.214,33.557,300.0,50.177,88.891,80.303,144.863,36.739,39.214,85.232,33.557,52.794,300,32.72
Voxento,AD,76,5,32,,0.9287878787878787,0.1940652093242924,160.401,52.759,124.533,116.693,176.912,50.564,25.579,154.262,160.401,52.759,124.533,116.693,176.912,50.564,25.579,154.193,154.262,48.918,300,27.311
EAGLE1,AD,54,12,27,,0.7457964829288358,0.1819114124751206,inf,48.008,95.237,34.793,120.512,31.486,32.608,29.951,300.0,48.008,95.237,34.793,120.512,31.486,32.608,186.106,29.951,26.457,300,26.614
Memento,AD,71,4,35,,0.9814814814814815,0.19646206524305906,inf,33.241,182.352,74.026,123.346,33.547,54.912,41.817,300.0,33.241,182.352,74.026,123.346,33.547,54.912,246.933,41.817,40.178,300,50.942
VitaChronicle1,AD,37,1,27,,0.9166666666666666,0.16305029855277806,inf,171.361,155.947,41.952,157.701,44.047,53.107,25.656,300.0,171.361,155.947,41.952,157.701,44.047,53.107,178.231,25.656,58.224,300,67.189
Exquisitor,AD,40,13,46,,0.6288566243194192,0.2798780487804878,inf,inf,182.147,80.698,134.23,40.853,56.819,63.713,300.0,180.0,182.147,80.698,134.23,40.853,56.819,300.0,63.713,66.567,300,78.52
LifeLens1,AD,115,51,39,,0.652592512908778,0.3086015248119286,inf,61.412,73.054,63.613,161.049,52.08,50.412,50.287,300.0,61.412,73.054,63.613,161.049,52.08,50.412,300.0,50.287,115.305,300,40.682
LifeSeeker1,AD,70,17,30,,0.5967801355732391,0.19609013932462976,inf,30.685,217.32,131.289,295.672,56.705,124.286,28.561,300.0,30.685,217.32,131.289,295.672,56.705,124.286,97.568,28.561,37.781,300,180.0
VISIONE1,AD,68,22,35,,0.8214380648591175,0.21663967884492122,inf,38.146,205.415,225.155,128.57,27.118,44.726,129.661,300.0,38.146,205.415,225.155,128.57,27.118,44.726,300.0,129.661,47.733,300,38.642
LifeInsight,AD,106,20,58,,0.6050193953986088,0.3722337482710927,232.919,90.827,inf,57.617,inf,68.2,193.616,inf,232.919,90.827,300.0,57.617,300.0,68.2,193.616,229.385,180.0,96.777,300,84.495
CollaXRSearch1,AD,52,8,32,,0.7586982161285567,0.22733444658098034,inf,93.303,239.23,69.0,inf,73.259,120.215,38.435,300.0,93.303,239.23,69.0,300.0,73.259,120.215,112.678,38.435,190.064,300,47.585
MemoriEase,AD,57,2,32,,0.9348484848484848,0.1890463178490706,inf,33.321,inf,inf,170.214,32.679,42.471,54.3,300.0,33.321,300.0,300.0,170.214,32.679,42.471,161.353,54.3,166.086,300,46.538
vitrivr,AD,90,32,45,,0.8562167644317746,0.26674510002361435,inf,31.642,inf,81.047,300.0,40.094,41.225,27.826,300.0,31.642,300.0,81.047,300.0,40.094,41.225,300.0,27.826,94.988,300,38.764
MyEachtra,AD,113,10,36,,0.6676085176085176,0.21496559052727454,63.632,64.566,238.827,196.12,287.599,68.151,71.248,93.206,63.632,64.566,238.827,196.12,287.599,68.151,71.248,300.0,93.206,300.0,300,180.0
Lifegraph,AD,38,5,15,,0.4772727272727273,0.0822268326417704,inf,39.779,300.0,53.178,251.625,76.288,298.328,inf,300.0,39.779,300.0,53.178,251.625,76.288,298.328,299.69,180.0,95.117,300,180.0
SnapSeek1,AD,68,61,6,,0.25012254901960784,0.059232365145228213,inf,28.578,293.5,75.445,270.631,52.125,218.147,inf,300.0,28.578,293.5,75.445,270.631,52.125,218.147,199.72,180.0,127.083,300,158.507
Retrospect1,AD,5,22,2,,0.19318181818181818,0.01822268326417704,inf,116.739,86.985,78.429,170.525,inf,inf,inf,300.0,116.739,86.985,78.429,170.525,180.0,300.0,300.0,180.0,234.361,300,92.489
vitrivr-VR,AD,12,11,11,,0.45833333333333337,0.06300813008130081,inf,inf,inf,155.087,inf,68.074,inf,115.793,300.0,180.0,300.0,155.087,300.0,68.074,300.0,300.0,115.793,120.145,300,180.0
